Sentence,Entity1,E1_POS,E1_DEP,Entity2,E2_POS,E2_DEP,Relationship,Direction,predicted_relationship,predicted_rel_with_direction
0,audits,['NNS'],nsubj,waste,['NN'],pobj,Message-Topic,"e1,e2",Other,Other
1,company,['NN'],nsubj,chairs,['NNS'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
2,master,"['NN', 'DT']",nsubj,stick,['NN'],pobj,Instrument-Agency,"e2,e1",Instrument-Agency,"Instrument-Agency(e2,e1)"
3,body,['NN'],dobj,reservoir,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
4,influenza,"['NN', 'NN']",compound,virus,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
5,ear,['NN'],nsubj,elephant,"['NN', 'NN']",pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
6,lie,['NN'],dobj,parents,"['DT', 'NNS', 'DT']",pobj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
7,hookup,['NN'],nsubj,users,['NNS'],pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
8,room,['NN'],dobj,house,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
9,thesis,"['NN', 'DT']",nsubj,clinical characteristics,"['JJ', 'NNS']",dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
10,survivors,['NNS'],nsubj,houses,['NNS'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
11,kimchi,['NN'],conj,maker,"['DT', 'DT', 'NN']",dobj,Other,Othe,Other,Other
12,names,['RB'],dobj,space,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
13,landscape,"['DT', 'NN', 'CC', 'CC']",compound,company,"['DT', 'NN']",pobj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
14,gift,"['IN', 'NN']",nsubj,friend,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
15,young,['JJ'],pobj,nest,['JJS'],dobj,Entity-Origin,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
16,actress,['NN'],nsubj,airport,['NN'],pobj,Entity-Destination,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
17,filesharing,['VBG'],pcomp,internet,['NN'],pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
18,zoo,['NN'],attr,beasts,"['DT', 'NNS', 'RB', 'IN']",pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
19,song,['NN'],nsubjpass,musician,"['DT', 'NN']",pobj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
20,outline,['JJ'],nsubj,spirituality,['NN'],pobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
21,bomb,['NN'],nsubj,suitcase,"['DT', 'NN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
22,software,"['DT', 'DT', 'NN']",compound,company,"['DT', 'DT', 'NN']",nsubj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
23,captain,['NN'],nsubj,crew,['NN'],conj,Other,Othe,Other,Other
24,sesame,['NN'],compound,oil,['NN'],nsubj,Entity-Origin,"e2,e1",Other,Other
25,housing,['NN'],compound,developer,['NN'],pobj,Product-Producer,"e1,e2",Other,Other
26,effect,['NN'],nsubjpass,way,"['NN', 'DT']",dobj,Cause-Effect,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
27,dramas,"['DT', 'NN']",dobj,real events,"['DT', 'JJ', 'NNS']",pobj,Other,Othe,Product-Producer,"Product-Producer(e1,e2)"
28,drawings,"['NNS', 'IN', 'IN']",dobj,museums,['NNS'],pobj,Other,Othe,Product-Producer,"Product-Producer(e1,e2)"
29,cultures,['NNS'],pobj,epochs,['NNS'],pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
30,viruses,['NNS'],pobj,infections,['NNS'],dobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
31,pieces,['NNS'],pobj,stories,['NNS'],dobj,Message-Topic,"e1,e2",Other,Other
32,steps,"['NNS', 'NNS']",nsubjpass,stairs,['NNS'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
33,blisters,['NNS'],nsubjpass,herpes simplex virus,"['NNS', 'JJ', 'NN']",compound,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
34,luff,['NN'],dobj,sail,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
35,circuit,['NN'],nsubj,converter,['NN'],conj,Component-Whole,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
